c1,c2
2.99609375,-52.3667289952145
3,-52.1852888563397
3.00390625,-52.3667289952145
3.0078125,-52.9224789792752
3.01171875,-53.8878845882984
3.015625,-55.3221247346306
3.01953125,-57.2834822289897
3.0234375,-59.6472165041541
3.02734375,-61.3496250147692
3.03125,-60.5242784529113
3.03515625,-58.1669711743476
3.0390625,-55.951049357931
3.04296875,-54.2567105175537
3.046875,-53.0593184187745
3.05078125,-52.2933858210947
3.0546875,-51.9130931908526
3.05859375,-51.8971276304093
3.0625,-52.2471961391195
3.06640625,-52.988196484828
3.0703125,-54.1696051732032
3.07421875,-55.8573579610153
3.078125,-58.0516541981554
3.08203125,-60.2302557616457
3.0859375,-60.5496578570568
3.08984375,-58.5210133863791
3.09375,-56.0986973633677
3.09765625,-54.129153359681
3.1015625,-52.6801276230623
3.10546875,-51.6884075118659
3.109375,-51.0979002632996
3.11328125,-50.876767208172
3.1171875,-51.0166804034774
3.12109375,-51.5320044235805
3.125,-52.4610552005817
3.12890625,-53.8650931396209
3.1328125,-55.79603654835
3.13671875,-58.0734732804056
3.140625,-59.4617086710509
3.14453125,-58.2533488066324
3.1484375,-55.7669257405353
3.15234375,-53.5127776673558
3.15625,-51.7830725605142
3.16015625,-50.5403286117207
3.1640625,-49.7203331692454
3.16796875,-49.2800029254648
3.171875,-49.2004491949485
3.17578125,-49.4855078294384
3.1796875,-50.1621194538304
3.18359375,-51.2815712626706
3.1875,-52.9090906317282
3.19140625,-55.0277404443285
3.1953125,-57.0306084425869
3.19921875,-57.0213335944754
3.203125,-54.7927863536678
3.20703125,-52.2892945180167
3.2109375,-50.2543588089647
3.21484375,-48.7335273371709
3.21875,-47.6628631696121
3.22265625,-46.9885267603033
3.2265625,-46.6810255987746
3.23046875,-46.7343146205069
3.234375,-47.1652084126941
3.23828125,-48.0146566138895
3.2421875,-49.3451163078273
3.24609375,-51.1972960454554
3.25,-53.3129473018469
3.25390625,-54.2681435554158
3.2578125,-52.6274935683838
3.26171875,-49.9864463730158
3.265625,-47.6564738547221
3.26953125,-45.8501386695045
3.2734375,-44.5212769169705
3.27734375,-43.6095157745256
3.28125,-43.0772650750582
3.28515625,-42.9117289055556
3.2890625,-43.1239900477391
3.29296875,-43.7497041815375
3.296875,-44.8471118553887
3.30078125,-46.4621783581117
3.3046875,-48.3993877724062
3.30859375,-49.4147377815121
3.3125,-47.873647994098
3.31640625,-45.0953526845178
3.3203125,-42.5459336184537
3.32421875,-40.5149942320015
3.328125,-38.9715876362069
3.33203125,-37.8591398875832
3.3359375,-37.1439768441069
3.33984375,-36.8196012231306
3.34375,-36.9048070765395
3.34765625,-37.4345715361554
3.3515625,-38.4060764891889
3.35546875,-39.5140618719431
3.359375,-39.5051320557991
3.36328125,-37.2328855971718
3.3671875,-33.9377065680463
3.37109375,-30.7833113716493
3.375,-28.0171201655931
3.37890625,-25.61085693096
3.3828125,-23.4998339076816
3.38671875,-21.6283732733766
3.390625,-19.9539857785325
3.39453125,-18.4447390928785
3.3984375,-17.0763539754422
3.40234375,-15.8300107329396
3.40625,-14.6908137837801
3.41015625,-13.6467299674116
3.4140625,-12.6878484631651
3.41796875,-11.8058570299079
3.421875,-10.9936649426409
3.42578125,-10.2451269278491
3.4296875,-9.55483790400029
3.43359375,-8.91797833653577
3.4375,-8.33019651877118
3.44140625,-7.78751836840366
3.4453125,-7.28627818191511
3.44921875,-6.82306571382698
3.453125,-6.39468625694366
3.45703125,-5.99813129164925
3.4609375,-5.63055787461226
3.46484375,-5.28927533379252
3.46875,-4.97173808440413
3.47265625,-4.67554352020224
3.4765625,-4.39843399744548
3.48046875,-4.13830194128951
3.484375,-3.89319708957913
3.48828125,-3.66133486863243
3.4921875,-3.44110488931108
3.49609375,-3.23107857617241
3.5,-3.03001501011719
3.50390625,-2.83686418209175
3.5078125,-2.6507670215057
3.51171875,-2.4710517703201
3.515625,-2.29722650813443
3.51953125,-2.1289678765162
3.5234375,-1.96610628201235
3.52734375,-1.80860805775157
3.53125,-1.65655521824162
3.53515625,-1.51012354168937
3.5390625,-1.36955975637987
3.54296875,-1.23515859611428
3.546875,-1.1072404332161
3.55078125,-0.986130108141735
3.5546875,-0.872137465399015
3.55859375,-0.765539988776698
3.5625,-0.666567815314229
3.56640625,-0.57539130470863
3.5703125,-0.492111253628058
3.57421875,-0.41675177446282
3.578125,-0.349255804750071
3.58203125,-0.289483174393907
3.5859375,-0.237211129234055
3.58984375,-0.192137187310256
3.59375,-0.153884184144272
3.59765625,-0.122007341809991
3.6015625,-0.0960031706386023
3.60546875,-0.0753199804384282
3.609375,-0.0593697398204532
3.61328125,-0.0475409788549498
3.6171875,-0.0392123845986796
3.62109375,-0.0337666951379087
3.625,-0.0306044608127925
3.62890625,-0.0291572168370603
3.6328125,-0.0288996050289222
3.63671875,-0.0293599983012123
3.640625,-0.0301292226999849
3.64453125,-0.0308670386086666
3.6484375,-0.0313061330823839
3.65234375,-0.0312534843482156
3.65625,-0.030589080279895
3.66015625,-0.0292620966355564
3.6640625,-0.0272847590556055
3.66796875,-0.0247242168556804
3.671875,-0.0216928396481931
3.67578125,-0.0183374051434176
3.6796875,-0.0148276760325587
3.68359375,-0.011344866065196
3.6875,-0.00807047285596659
3.69140625,-0.00517591166728835
3.6953125,-0.00281332531386639
3.69921875,-0.00110787546674773
3.703125,-0.000151744648367608
3.70703125,0
3.7109375,-0.000668392453837355
3.71484375,-0.00213309035975742
3.71875,-0.00433227629842065
3.72265625,-0.00716947070209784
3.7265625,-0.0105183867716295
3.73046875,-0.0142290688660123
3.734375,-0.0181350221404918
3.73828125,-0.0220610061239636
3.7421875,-0.0258311408217839
3.74609375,-0.0292769625637531
3.75,-0.0322450697806621
3.75390625,-0.0346040173024805
3.7578125,-0.0362501519596872
3.76171875,-0.0371121315417246
3.765625,-0.0371539316670208
3.76953125,-0.0363762178508684
3.7734375,-0.0348160390640136
3.77734375,-0.032544879767495
3.78125,-0.0296651849950199
3.78515625,-0.0263055429999577
3.7890625,-0.0226147684459279
3.79296875,-0.0187551732725545
3.796875,-0.0148953405915304
3.80078125,-0.0112027288745622
3.8046875,-0.00783643000606513
3.80859375,-0.00494038708752132
3.8125,-0.00263734837152858
3.81640625,-0.00102379481718472
3.8203125,-0.000166032937193581
3.82421875,-9.7594094740294e-05
3.828125,-0.000818028136338387
3.83203125,-0.00229312481563497
3.8359375,-0.00445654219602586
3.83984375,-0.00721276827283764
3.84375,-0.0104412915479077
3.84765625,-0.0140018094291083
3.8515625,-0.0177402614970984
3.85546875,-0.0214954394676046
3.859375,-0.0251058988205527
3.86328125,-0.0284168803415392
3.8671875,-0.0312869448434342
3.87109375,-0.0335940323380193
3.875,-0.0352406785187506
3.87890625,-0.0361581563823882
3.8828125,-0.0363093579980299
3.88671875,-0.0356902886989204
3.890625,-0.0343301103357697
3.89453125,-0.0322897380617963
3.8984375,-0.0296590624658958
3.90234375,-0.0265529318167147
3.90625,-0.0231060842081122
3.91015625,-0.0194672636866715
3.9140625,-0.0157927860782106
3.91796875,-0.0122398382865409
3.921875,-0.00895979933960711
3.92578125,-0.00609186324492144
3.9296875,-0.00375722423121793
3.93359375,-0.00205405600525444
3.9375,-0.00105348018625135
3.94140625,-0.000796676989922436
3.9453125,-0.00129324523930309
3.94921875,-0.00252087037505462
3.953125,-0.00442630960711242
3.95703125,-0.00692765383523875
3.9609375,-0.00991777756818143
3.96484375,-0.0132688419557461
3.96875,-0.0168376735297493
3.97265625,-0.020471803838611
3.9765625,-0.024015924540426
3.98046875,-0.0273184904680547
3.984375,-0.0302381914137759
3.98828125,-0.0326500133603096
3.9921875,-0.0344506225881062
3.99609375,-0.0355628318054962
4,-0.0359389456191472
